Emotion Lexemes,Emotion Family,Basic Emotions
ebullient,ebullience,enjoyment
ebullience,ebullience,enjoyment
ecstasies,ecstasy,enjoyment
ecstatically,ecstasy,enjoyment
ecstatic,ecstasy,enjoyment
ecstasy,ecstasy,enjoyment
edgier,edginess,anger
edgy,edginess,anger
edginesses,edginess,anger
edgiest,edginess,anger
edgily,edginess,anger
edginess,edginess,anger
elating,elation,enjoyment
elates,elation,enjoyment
elation's,elation,enjoyment
elatedly,elation,enjoyment
elated,elation,enjoyment
elations,elation,enjoyment
elation,elation,enjoyment
embarrassed,embarrassment,sadness
embarrassing,embarrassment,sadness
embarrassingly,embarrassment,sadness
embarrass,embarrassment,sadness
embarrasses,embarrassment,sadness
embarrassment,embarrassment,sadness
enamoring,enamored,enjoyment
enamored,enamored,enjoyment
enamors,enamored,enjoyment
enchants,enchantment,enjoyment
enchant,enchantment,enjoyment
enchantment,enchantment,enjoyment
enchanted,enchantment,enjoyment
enchantments,enchantment,enjoyment
enchanting,enchantment,enjoyment
encourage,encouragement,enjoyment
encouraging,encouragement,enjoyment
encouraged,encouragement,enjoyment
encourages,encouragement,enjoyment
encouragingly,encouragement,enjoyment
encouragement,encouragement,enjoyment
endearment's,endearment,enjoyment
endearer,endearment,enjoyment
endearments,endearment,enjoyment
endear,endearment,enjoyment
endears,endearment,enjoyment
endearing,endearment,enjoyment
endearingly,endearment,enjoyment
endearment,endearment,enjoyment
enjoying,enjoyment,enjoyment
enjoys,enjoyment,enjoyment
enjoy,enjoyment,enjoyment
enjoyable,enjoyment,enjoyment
enjoyed,enjoyment,enjoyment
enjoyably,enjoyment,enjoyment
enjoyment,enjoyment,enjoyment
enlivenments,enlivenment,enjoyment
enlivened,enlivenment,enjoyment
enlivening,enlivenment,enjoyment
enliven,enlivenment,enjoyment
enlivenment,enlivenment,enjoyment
enmity's,enmity,anger
enmities,enmity,anger
enmity,enmity,anger
rage,enragement,anger
enrage,enragement,anger
raged,enragement,anger
raging,enragement,anger
enraging,enragement,anger
enraged,enragement,anger
enrages,enragement,anger
rages,enragement,anger
enrapturing,enrapturement,enjoyment
enraptured,enrapturement,enjoyment
enraptures,enrapturement,enjoyment
enrapture,enrapturement,enjoyment
enthralling,enthrallment,enjoyment
enthralled,enthrallment,enjoyment
enthrallingly,enthrallment,enjoyment
enthrall,enthrallment,enjoyment
enthralls,enthrallment,enjoyment
enthrallment,enthrallment,enjoyment
enthusiastically,enthusiasm,enjoyment
